1,2249213
2,2249431
3,2245535
4,2248240
5,2242516
6,2249110
7,2243399
8,2245860
9,2246434
10,2247474
11,2244977
12,2240512
13,2248336
14,2242603
15,2245242
16,2248035
17,2249509
18,2246556
19,2248564
20,2244215
21,2247283
22,2249027
23,2249623
24,2246931
25,2244471
26,2241800
27,2242337
28,2247507
29,2249187
30,2241102
31,2241827
32,2242903
33,2247439
34,2240180
35,2240208
36,2240249
37,2247549
38,2244997
39,2245739
40,2244802
41,2248290
42,2243070
43,2247407
44,2240108
45,2244670
46,2240541
47,2245661
48,2247296
49,2249142
50,2247720
51,2243810
52,2248327
53,2246991
54,2249188
55,2243537
56,2241440
57,2242495
58,2241754
59,2248613
60,2248502
61,2242382
62,2242141
63,2247130
64,2249201
65,2241973
66,2243078
67,2244408
68,2248737
69,2244374
70,2247216
71,2242183
72,2241125
73,2247104
74,2243925
75,2241801
76,2246105
77,2247814
78,2245258
79,2243873
80,2240796
81,2247720
82,2244976
83,2247736
84,2240008
85,2245889
86,2242172
87,2241236
88,2240410
89,2249799
90,2243615
91,2247397
92,2240428
93,2246384
94,2243591
95,2246578
96,2245759
97,2247755
98,2248395
99,2247216
100,2245997
101,2247702
102,2248586
103,2244702
104,2245873
105,2240620
106,2248942
107,2245148
108,2248521
109,2246224
110,2245502
111,2248454
112,2249860
113,2247683
114,2245085
115,2245165
116,2242348
117,2248657
118,2240276
119,2240428
120,2240666
121,2240853
122,2243791
123,2241855
124,2247255
125,2240784
126,2246554
127,2243010
128,2249954
129,2247215
130,2246735
131,2245385
132,2245951
133,2248596
134,2248242
135,2242655
136,2242316
137,2244052
138,2246958
139,2249659
140,2242907
141,2249871
142,2246690
143,2245075
144,2241040
145,2243253
146,2246090
147,2245314
148,2245653
149,2243504
150,2247207
151,2248306
152,2245112
153,2243808
154,2248296
155,2241586
156,2248318
157,2240054
158,2249293
159,2243553
160,2245205
161,2240219
162,2249825
163,2245128
164,2245012
165,2244359
166,2247321
167,2248911
168,2240225
169,2244965
170,2249650
171,2247043
172,2244369
173,2249778
174,2245410
175,2243199
176,2248859
177,2248163
178,2240345
179,2244437
180,2248992
181,2246760
182,2246832
183,2241052
184,2247809
185,2240708
186,2243393
187,2245206
188,2245319
189,2240986
190,2240794
191,2241269
192,2247150
